fecha,escenario,artista,hora_inicio,hora_fin,soundcheck,notas
17/07/2026,Main Stage,Fusión Latina,15:00,1730,13:00,Posible retraso
15/07/2026,Main Stage,ZENIT,2000,21:30,1800,Posible retraso
2026/07/16,ESCENARIO BOSQUE,Obsidiana,1700,7:00 PM,16:00,"
Cambio de última hora
"
16/07/2026,ESCENARIO RIO,Ecos  del  Sur,23:00,0100,2100,   
FECHA INVÁLIDA,escenario rio,Fuego Lento,16.30,17:00,,Artista confirmado
2026/07/16,Escenario Principal,  Relámpago  ,12:30 PM,13:00,,Patrocinado por Red Bull
2026/07/16,Escenario Principal,Espiral,10:00 PM,0:00 AM,21:00,
17/07/2026,escenario rio,Viento Sur,18:00,18.00,,
17/07/2026,escenario bosque,Voltio,19:00,21.30,,Posible retraso
FECHA INVÁLIDA,escenario sol,Pandora,17:30,18:00,4:00 PM,
FECHA INVÁLIDA,ESCENARIO LUNA,Brújula,17:30,19:30,16:00,
16/07/2026,Escenario Bosque,THE ELECTRIC SHEEP,20.00,22:30,18:00,Artista confirmado
16/07/2026,ESCENARIO LUNA,Sendero,,14:00,,
2026/07/16,escenario sol,Xilófono,15:00,4:30 PM,1:00 PM,
15/07/2026,Esc. Río,Iridiscente,1700,18:30,15:00,
17/07/2026,Escenario Principal,los invisibles,1200,1300,1100,Patrocinado por Red Bull
2026/07/16,Esc. Bosque,Beto y los Fugitivos,1300,14:00,12:00,Posible retraso
2026/07/15,Esc. Luna,Bajo Presión,2:30 PM,3:00 PM,12:00,
17/07/2026,Escenario Principal,Hipnosis,11:30,12.00,10:00,Posible retraso
16/07/26,Esc. Principal,Kometa,2130,10:00 PM,19:00,
16/07/2026,Escenario bosque,Horizonte,2200,0:00,2000,  Requiere pantalla LED  
17/07/2026,Escenario Principal,Fulgor,5:00 PM,18:00,1500,
16/07/2026,Escenario Principal,Equinoccio,13.00,14:00,11:00 AM,Patrocinado por Red Bull
16/07/2026,Esc. Río,  Pulso Urbano,1430,1600,12:00,Patrocinado por Red Bull
17/07/2026,Escenario bosque,Los Pioneros,1830,7:30 PM,17.00,
FECHA INVÁLIDA,escenario rio,Rapsodia,20:30,9:00 PM,7:00 PM,Necesita piano de cola
FECHA INVÁLIDA,ESCENARIO RIO,Titanio,12:30 PM,13:00,10:00,	Equipo propio de sonido	
17/07/2026,Escenario luna,  Eclipse Total  ,21.30,23:30,7:00 PM,   
17/07/26,Esc. Río,Clave de Sol,13:00,15.30,1200,IMPORTANTE: carga eléctrica extra
2026/07/15,escenario luna,ALMA NEGRA,20:00,21:30,19:00,   
FECHA INVÁLIDA,escenario sol,Loto,19:00,20.00,18:00,
16/07/2026,Escenario luna,El Circo Eléctrico,10:30 PM,00:00,,   
17/07/2026,Escenario Principal,Diáspora,18.00,20.30,16:00,IMPORTANTE: carga eléctrica extra
17/07/2026,Esc. Rio,Obsidiana,23.00,0:30,21:00,
FECHA INVÁLIDA,Escenario Principal,Cáctus,1900,22:00,,
15/07/2026,Esc. Río,  los eternos,11.00,13:00,9:00 AM,  Requiere pantalla LED  
17/07/2026,Escenario Principal,Grafito,2000,21.30,19.00,
16/07/2026,Escenario luna,TEMPESTAD,21.00,22:30,2000,"
Cambio de última hora
"
16/07/2026,Esc. Bosque,GRIETA,04.00,6:00,,
16/07/2026,Escenario Rio,Ritmo Salvaje,18.00,22:00,,
16/07/26,escenario luna,  Clave de Sol,17:00,1800,15.00,   
16/07/2026,escenario luna,Wavelength,15.00,1600,2:00 PM,Artista confirmado
17/07/2026,Escenario Sol,Andén Cero  ,7:30 PM,21.30,1800,Necesita piano de cola
15/07/2026,Esc. Bosque,Bumerán,19:00,9:00 PM,17.00,Artista confirmado
15/07/2026,Escenario Río,Ónix,1:00 PM,15:00,11:00,  Sin requisitos especiales 
2026/07/16,escenario bosque,  Solsticio,02:00,04.00,0:00 AM,"
Cambio de última hora
"
16/07/2026,ESCENARIO SOL,,,16:00,,
FECHA INVÁLIDA,ESCENARIO RIO,lava,02.00,0330,01:00,Artista confirmado
17/07/2026,Escenario Principal,Iridiscente,13:00,2:30 PM,11:00,  Requiere pantalla LED  
17/07/2026,ESCENARIO SOL,,21:00,20.00,,
15/07/26,Esc. Bosque,,1300,13:00,,
15/07/2026,Esc. Rio,ícaro,6:30 PM,19.00,,Patrocinado por Red Bull
FECHA INVÁLIDA,Escenario Sol,Los Vagabundos,,,,
16/07/2026,Escenario Principal,Lux,1800,20:00,1700,  Requiere pantalla LED  
FECHA INVÁLIDA,ESCENARIO BOSQUE,Bermellón,,10:00 PM,,
17/07/2026,ESCENARIO SOL,Ritmo Salvaje,12:00,13.00,,IMPORTANTE: carga eléctrica extra
17/07/26,ESCENARIO LUNA,Melodía Errante,22:00,18.00,16:00,Error horario posible
16/07/2026,escenario rio,Impulso,13.30,14.00,11:00 AM,   
15/07/2026,Escenario Luna,Cristal Roto,19.00,2000,18:00,  Requiere pantalla LED  
16/07/26,ESCENARIO SOL,mala hierba,17.00,18:00,16:00,Patrocinado por Red Bull
17/07/26,Esc. Río,Duende,3:30 PM,16:00,13:00,
2026/07/16,Escenario Luna,géminis,16:00,1700,14.00,
FECHA INVÁLIDA,escenario bosque,CLAVE DE SOL,11:00,1230,1000,	Equipo propio de sonido	
17/07/2026,Escenario Sol,Atardecer,1800,19:00,16:00,
